time,Q_in,S_target_min,S_target_max
3/4/2021 0:00,59,350,400
3/4/2021 6:00,70,350,400
3/4/2021 12:00,88,350,400
3/4/2021 18:00,119,350,400
3/5/2021 0:00,171,350,400
3/5/2021 6:00,219,350,400
3/5/2021 12:00,248,350,400
3/5/2021 18:00,253,350,400
3/6/2021 0:00,240,350,400
3/6/2021 6:00,214,350,400
3/6/2021 12:00,185,350,400
3/6/2021 18:00,159,350,400
3/7/2021 0:00,140,350,400
3/7/2021 6:00,129,350,400
3/7/2021 12:00,123,350,400
3/7/2021 18:00,122,350,400
3/8/2021 0:00,128,350,400
3/8/2021 6:00,137,350,400
3/8/2021 12:00,150,350,400
3/8/2021 18:00,192,350,400
3/9/2021 0:00,285,350,400
3/9/2021 6:00,411,350,400
3/9/2021 12:00,580,350,400
3/9/2021 18:00,787,350,400
3/10/2021 0:00,981,350,400
3/10/2021 6:00,1120,350,400
3/10/2021 12:00,1230,350,400
3/10/2021 18:00,1373,350,400
3/11/2021 0:00,1535,350,400
