time,Q_in,R
2021-03-04 00:00:00,59.000000,29.500000
2021-03-04 06:00:00,34.933103,35.066897
2021-03-04 12:00:00,44.018685,43.981315
2021-03-04 18:00:00,59.526220,59.473780
2021-03-05 00:00:00,85.494901,85.505099
2021-03-05 06:00:00,109.478037,109.521963
2021-03-05 12:00:00,123.972365,124.027635
2021-03-05 18:00:00,126.479913,126.520087
2021-03-06 00:00:00,119.985060,120.014940
2021-03-06 06:00:00,106.996960,107.003040
2021-03-06 12:00:00,92.503573,92.496427
2021-03-06 18:00:00,79.508125,79.491875
2021-03-07 00:00:00,70.009276,69.990724
2021-03-07 06:00:00,64.505340,64.494660
2021-03-07 12:00:00,61.505421,61.494579
2021-03-07 18:00:00,61.008245,60.991755
2021-03-08 00:00:00,64.002806,63.997194
2021-03-08 06:00:00,68.502440,68.497560
2021-03-08 12:00:00,75.032504,74.967496
2021-03-08 18:00:00,96.059377,95.940623
2021-03-09 00:00:00,142.534166,142.465834
2021-03-09 06:00:00,205.548326,205.451674
2021-03-09 12:00:00,290.045219,289.954781
2021-03-09 18:00:00,393.484968,393.515032
2021-03-10 00:00:00,490.434235,490.565765
2021-03-10 06:00:00,559.966736,560.033264
2021-03-10 12:00:00,615.062462,614.937538
2021-03-10 18:00:00,686.813643,686.186357
2021-03-11 00:00:00,763.577528,771.422472
