time,Qin_eau,Qin_spirit,Qlocal_merril,Qlocal_wis_rap
2013-01-01 00:00:00,45.023361,33.989806,35.386420,43.160023
2013-01-01 06:00:00,30.581906,33.989806,33.588378,37.057114
2013-01-01 12:00:00,38.510548,28.339799,35.813928,37.590492
2013-01-01 18:00:00,44.740195,25.501345,38.292595,40.882663
2013-01-02 00:00:00,47.288688,36.818632,33.316853,39.606878
2013-01-02 06:00:00,37.661051,42.481948,33.316899,43.364710
2013-01-02 12:00:00,40.209543,39.662466,38.451686,39.903655
2013-01-02 18:00:00,39.076880,42.481948,36.153008,38.475708
2013-01-03 00:00:00,44.740195,41.066119,32.650504,46.625085
2013-01-03 06:00:00,23.531077,38.243806,35.516240,41.835548
2013-01-03 12:00:00,39.926377,35.475577,32.667655,42.666086
2013-01-03 18:00:00,40.209543,32.306952,32.661108,38.440470
2013-01-04 00:00:00,40.209543,32.306952,32.661108,38.440470
